value;visits;visitors;pageviews;bounce_rate;page_depth;avg_duration
PC;626;439;907;16.45;1.45;125.04
Smartphones;257;214;322;15.95;1.25;95.95
Tablets;13;9;22;15.38;1.69;72.77
