source;visits;visitors;pageviews;bounce_rate;page_depth;avg_duration
"Search engine traffic";606;493;734;11.06;1.21;104.38
"Direct traffic";166;120;281;32.53;1.69;116.4
"Internal traffic";83;51;151;25.3;1.82;114.23
"Link traffic";39;18;73;10.26;1.87;287.95
"Messenger traffic";2;2;12;0;6;298.5
